KLASA SAMAR,SILNIK,0,1,2,3,4,5,6,7
Sportowo-rekreacyjne - E WYŻSZA,Diesel (ON),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - E WYŻSZA,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - E WYŻSZA,Diesel mHEV (ON-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - E WYŻSZA,Hybryda (HEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - E WYŻSZA,Plug-in Hybrid (PHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - E WYŻSZA,Elektryczny (BEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - E WYŻSZA,Wodór (FCEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - E WYŻSZA,LPG,"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - F LUKSUSOWE,Benzyna (PB),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - F LUKSUSOWE,Diesel (ON),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - F LUKSUSOWE,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - F LUKSUSOWE,Diesel mHEV (ON-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - F LUKSUSOWE,Hybryda (HEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - F LUKSUSOWE,Plug-in Hybrid (PHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - F LUKSUSOWE,Elektryczny (BEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - F LUKSUSOWE,Wodór (FCEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
